City,State,Latitude,Longitude,AverageSalary,Federal Tax,State Tax,FICA,Car Payment,Car Insurance,Healthcare,Distance (miles),Commute Miles,Gas Cost,Net Pay
Lucerne,MO,40.4639,-93.2911,76191,0,0,0,0,0,0,0,0,0,0
St. Clairsville,PA,40.156,-78.5108,67916,0,0,0,0,0,0,0,0,0,0
Ravenel,SC,32.778,-80.2281,47637,0,0,0,0,0,0,0,0,0,0
Hawi,HI,20.2263,-155.8389,77190,0,0,0,0,0,0,0,0,0,0
Ranson,WV,39.325,-77.8667,112201,0,0,0,0,0,0,0,0,0,0
Summit,IL,41.7877,-87.8146,82051,0,0,0,0,0,0,0,0,0,0
Kings Park,VA,38.8026,-77.2396,76901,0,0,0,0,0,0,0,0,0,0
Deer Lake,PA,40.6213,-76.0565,43543,0,0,0,0,0,0,0,0,0,0
Mount Olive,AL,33.6778,-86.8727,89390,0,0,0,0,0,0,0,0,0,0
Stuckey,SC,33.7321,-79.5132,62765,0,0,0,0,0,0,0,0,0,0
White Shield,ND,47.6601,-101.8436,84391,0,0,0,0,0,0,0,0,0,0
Plainville,IN,38.8048,-87.1515,66817,0,0,0,0,0,0,0,0,0,0
Buckshot,AZ,32.7404,-114.4829,53372,0,0,0,0,0,0,0,0,0,0
Websters Crossing,NY,42.6662,-77.6367,69581,0,0,0,0,0,0,0,0,0,0
Glenfield,ND,47.4551,-98.5664,74029,0,0,0,0,0,0,0,0,0,0
Trempealeau,WI,44.0029,-91.4284,98942,0,0,0,0,0,0,0,0,0,0
Sayville,NY,40.7478,-73.084,110028,0,0,0,0,0,0,0,0,0,0
Milnor,ND,46.2604,-97.4575,53901,0,0,0,0,0,0,0,0,0,0
Southlake,TX,32.9545,-97.1503,84413,0,0,0,0,0,0,0,0,0,0
Cheraw,CO,38.1076,-103.511,67111,0,0,0,0,0,0,0,0,0,0
Johnson Lane,NV,39.0489,-119.7245,69265,0,0,0,0,0,0,0,0,0,0
Washburn,IA,42.4111,-92.2685,84470,0,0,0,0,0,0,0,0,0,0
Dawson Springs,KY,37.174,-87.688,47549,0,0,0,0,0,0,0,0,0,0
Tyndall AFB,FL,30.0856,-85.6075,41378,0,0,0,0,0,0,0,0,0,0
Belle Fontaine,AL,30.492,-88.1131,112551,0,0,0,0,0,0,0,0,0,0
The Ranch,MN,47.3198,-95.6952,112279,0,0,0,0,0,0,0,0,0,0
Vansant,VA,37.2359,-82.0961,50932,0,0,0,0,0,0,0,0,0,0
Kaysville,UT,41.029,-111.9456,89708,0,0,0,0,0,0,0,0,0,0
Parkland,FL,26.3219,-80.2533,69629,0,0,0,0,0,0,0,0,0,0
Riverton,IL,39.8456,-89.5363,55754,0,0,0,0,0,0,0,0,0,0
Norwood,LA,30.9682,-91.1125,63807,0,0,0,0,0,0,0,0,0,0
Mars,PA,40.6969,-80.0141,107170,0,0,0,0,0,0,0,0,0,0
Saratoga,AR,33.7446,-93.9043,53353,0,0,0,0,0,0,0,0,0,0
Holy Cross,AK,62.1868,-159.8198,84867,0,0,0,0,0,0,0,0,0,0
Yankton,SD,42.8901,-97.3927,112124,0,0,0,0,0,0,0,0,0,0
Omaha,IL,37.8901,-88.3053,116593,0,0,0,0,0,0,0,0,0,0
West Samoset,FL,27.4702,-82.5552,79346,0,0,0,0,0,0,0,0,0,0
Palmhurst,TX,26.2583,-98.2953,102901,0,0,0,0,0,0,0,0,0,0
Reno,NV,39.5497,-119.8483,70535,0,0,0,0,0,0,0,0,0,0
San Pablo,CA,37.9629,-122.3426,77567,0,0,0,0,0,0,0,0,0,0
Sylacauga,AL,33.178,-86.2605,65851,0,0,0,0,0,0,0,0,0,0
Thayer,NE,40.9702,-97.4968,99270,0,0,0,0,0,0,0,0,0,0
Virginia,IL,39.9524,-90.2108,55174,0,0,0,0,0,0,0,0,0,0
Newport,NJ,39.2937,-75.1707,95569,0,0,0,0,0,0,0,0,0,0
Fowler,KS,37.3829,-100.1957,58361,0,0,0,0,0,0,0,0,0,0
West Wilmerding,PA,40.3987,-79.8209,52943,0,0,0,0,0,0,0,0,0,0
Callaway,MD,38.2324,-76.5231,79909,0,0,0,0,0,0,0,0,0,0
Tyner,IN,41.4098,-86.4025,90262,0,0,0,0,0,0,0,0,0,0
Spartanburg,SC,34.9442,-81.9251,56646,0,0,0,0,0,0,0,0,0,0
Sawmill,AZ,35.8924,-109.1538,91341,0,0,0,0,0,0,0,0,0,0
Cottonwood,AL,31.0552,-85.3008,47711,0,0,0,0,0,0,0,0,0,0
Thynedale,VA,36.8182,-78.4774,47118,0,0,0,0,0,0,0,0,0,0
Coney Island,MO,36.593,-93.3972,80771,0,0,0,0,0,0,0,0,0,0
Thompson,IA,43.37,-93.7747,109245,0,0,0,0,0,0,0,0,0,0
Kylertown,PA,40.9993,-78.1681,101720,0,0,0,0,0,0,0,0,0,0
Coto de Caza,CA,33.5959,-117.586,64995,0,0,0,0,0,0,0,0,0,0
Riverdale,VA,36.6764,-78.8943,96790,0,0,0,0,0,0,0,0,0,0
Flovilla,GA,33.2524,-83.903,71174,0,0,0,0,0,0,0,0,0,0
Hudson,IN,41.5318,-85.084,119056,0,0,0,0,0,0,0,0,0,0
Johnstown,CO,40.3499,-104.9482,87945,0,0,0,0,0,0,0,0,0,0
Kangley,IL,41.148,-88.8722,61803,0,0,0,0,0,0,0,0,0,0
Conway,WA,48.3357,-122.3444,109543,0,0,0,0,0,0,0,0,0,0
Red Hill,PA,40.5296,-78.4356,66004,0,0,0,0,0,0,0,0,0,0
Fenwick,CT,41.2711,-72.3546,78916,0,0,0,0,0,0,0,0,0,0
Lincoln,MO,38.394,-93.3313,77710,0,0,0,0,0,0,0,0,0,0
Holstein,IA,42.487,-95.5428,48539,0,0,0,0,0,0,0,0,0,0
Hapeville,GA,33.6609,-84.4093,90210,0,0,0,0,0,0,0,0,0,0
Dalton,MO,39.3976,-92.9921,45686,0,0,0,0,0,0,0,0,0,0
Grafton,WI,43.3204,-87.948,50211,0,0,0,0,0,0,0,0,0,0
Allen,TX,33.1088,-96.6735,44000,0,0,0,0,0,0,0,0,0,0
Reddell,LA,30.6688,-92.4268,81983,0,0,0,0,0,0,0,0,0,0
Arcadia,NE,41.4249,-99.1261,114215,0,0,0,0,0,0,0,0,0,0
Portola Valley,CA,37.3711,-122.2202,116448,0,0,0,0,0,0,0,0,0,0
Weldon,IL,40.1216,-88.7497,47297,0,0,0,0,0,0,0,0,0,0
Rising Star,TX,32.0976,-98.9665,86313,0,0,0,0,0,0,0,0,0,0
Ball Club,MN,47.3311,-93.946,77235,0,0,0,0,0,0,0,0,0,0
Lincoln Heights,OH,40.7673,-82.4795,52264,0,0,0,0,0,0,0,0,0,0
Jasper,MN,43.8491,-96.3999,68205,0,0,0,0,0,0,0,0,0,0
Vineyard,CA,38.474,-121.324,56032,0,0,0,0,0,0,0,0,0,0
Buena Vista,GA,32.3188,-84.5177,96227,0,0,0,0,0,0,0,0,0,0
Emlyn,KY,36.7023,-84.1418,110085,0,0,0,0,0,0,0,0,0,0
Macks Creek,MO,37.9639,-92.9682,92930,0,0,0,0,0,0,0,0,0,0
Rewey,WI,42.8419,-90.3961,109305,0,0,0,0,0,0,0,0,0,0
Clay,TX,30.3883,-96.346,115642,0,0,0,0,0,0,0,0,0,0
Lankin,ND,48.3147,-97.9203,73581,0,0,0,0,0,0,0,0,0,0
Lastrup,MN,46.0398,-94.0621,77018,0,0,0,0,0,0,0,0,0,0
Niederwald,TX,30.0038,-97.7532,112502,0,0,0,0,0,0,0,0,0,0
Oak Island,TX,29.6628,-94.6883,114755,0,0,0,0,0,0,0,0,0,0
Owingsville,KY,38.1364,-83.7604,60448,0,0,0,0,0,0,0,0,0,0
Steptoe,WA,47.0075,-117.3502,72991,0,0,0,0,0,0,0,0,0,0
Mobile City,TX,32.9228,-96.4111,68780,0,0,0,0,0,0,0,0,0,0
Meadows of Dan,VA,36.7386,-80.3973,92504,0,0,0,0,0,0,0,0,0,0
Gore,VA,39.2627,-78.3293,90684,0,0,0,0,0,0,0,0,0,0
Russellton,PA,40.6081,-79.8401,80768,0,0,0,0,0,0,0,0,0,0
Seven Springs,PA,40.0251,-79.2934,87312,0,0,0,0,0,0,0,0,0,0
East Marion,NY,41.1288,-72.3419,57156,0,0,0,0,0,0,0,0,0,0
Sedan,KS,37.1284,-96.1848,42076,0,0,0,0,0,0,0,0,0,0
Sumrall,MS,31.4172,-89.5423,87037,0,0,0,0,0,0,0,0,0,0
Jamestown,NC,35.9984,-79.9348,89508,0,0,0,0,0,0,0,0,0,0
Magna,UT,40.7634,-112.1599,109298,0,0,0,0,0,0,0,0,0,0
Oscarville,AK,60.7288,-161.7728,108574,0,0,0,0,0,0,0,0,0,0
Kirk,CO,39.6127,-102.592,110009,0,0,0,0,0,0,0,0,0,0
Venersborg,WA,45.786,-122.4721,59073,0,0,0,0,0,0,0,0,0,0
Villa Grove,IL,39.8645,-88.16,116018,0,0,0,0,0,0,0,0,0,0
Clifton Knolls-Mill Creek,NY,42.8482,-73.8082,73365,0,0,0,0,0,0,0,0,0,0
Milton,ND,48.626,-98.0459,93034,0,0,0,0,0,0,0,0,0,0
La Crescent,MN,43.83,-91.3042,117814,0,0,0,0,0,0,0,0,0,0
Nikiski,AK,60.7152,-151.2317,100277,0,0,0,0,0,0,0,0,0,0
Carl Junction,MO,37.1668,-94.5469,67042,0,0,0,0,0,0,0,0,0,0
Chocowinity,NC,35.5148,-77.1017,76176,0,0,0,0,0,0,0,0,0,0
La Cienega,NM,35.5794,-106.113,66708,0,0,0,0,0,0,0,0,0,0
Bret Harte,CA,37.6021,-121.0045,113181,0,0,0,0,0,0,0,0,0,0
Baker,OK,36.8704,-101.0177,114660,0,0,0,0,0,0,0,0,0,0
Compton,CA,33.893,-118.2274,100566,0,0,0,0,0,0,0,0,0,0
Campbelltown,PA,40.276,-76.5829,52379,0,0,0,0,0,0,0,0,0,0
Blue Bell,PA,40.1474,-75.2687,57174,0,0,0,0,0,0,0,0,0,0
Ragland,AL,33.7469,-86.1384,47750,0,0,0,0,0,0,0,0,0,0
Orrin,ND,48.091,-100.1671,57926,0,0,0,0,0,0,0,0,0,0
Mascotte,FL,28.611,-81.9106,65216,0,0,0,0,0,0,0,0,0,0
Shelby,IA,41.5067,-95.4506,103090,0,0,0,0,0,0,0,0,0,0
Pondsville,MD,39.6234,-77.5916,76424,0,0,0,0,0,0,0,0,0,0
Bison,OK,36.196,-97.8979,105217,0,0,0,0,0,0,0,0,0,0
Fredonia,AZ,36.9617,-112.5195,42164,0,0,0,0,0,0,0,0,0,0
Kendrick,ID,46.614,-116.6543,42843,0,0,0,0,0,0,0,0,0,0
Tilton,IL,40.0951,-87.6424,117711,0,0,0,0,0,0,0,0,0,0
Hardin,IL,39.1591,-90.6248,53669,0,0,0,0,0,0,0,0,0,0
Griffin,IN,38.2043,-87.915,84237,0,0,0,0,0,0,0,0,0,0
Bibo,NM,35.1732,-107.4034,117056,0,0,0,0,0,0,0,0,0,0
Philadelphia,TN,35.6791,-84.3999,60760,0,0,0,0,0,0,0,0,0,0
Santa Clara,CA,37.3646,-121.968,108027,0,0,0,0,0,0,0,0,0,0
Knife River,MN,46.9495,-91.7837,106696,0,0,0,0,0,0,0,0,0,0
Halley,AR,33.5363,-91.3236,113706,0,0,0,0,0,0,0,0,0,0
De Kalb,MO,39.5883,-94.9236,55904,0,0,0,0,0,0,0,0,0,0
Wapello,IA,41.1773,-91.1881,84308,0,0,0,0,0,0,0,0,0,0
Lawtey,FL,30.0484,-82.0725,106635,0,0,0,0,0,0,0,0,0,0
Candelero Abajo,PR,18.0942,-65.8165,66627,0,0,0,0,0,0,0,0,0,0
Saranac Lake,NY,44.3252,-74.1309,109711,0,0,0,0,0,0,0,0,0,0
Jenkinsville,SC,34.3129,-81.2874,40650,0,0,0,0,0,0,0,0,0,0
Audubon,PA,40.1304,-75.428,84739,0,0,0,0,0,0,0,0,0,0
Ojai,CA,34.4488,-119.2469,96392,0,0,0,0,0,0,0,0,0,0
Hana,HI,20.772,-156.0107,113885,0,0,0,0,0,0,0,0,0,0
Woodacre,CA,38.0052,-122.6384,45967,0,0,0,0,0,0,0,0,0,0
Heilwood,PA,40.6219,-78.9152,90154,0,0,0,0,0,0,0,0,0,0
Brock Hall,MD,38.8604,-76.7459,71897,0,0,0,0,0,0,0,0,0,0
Perry,KS,39.0732,-95.3866,61832,0,0,0,0,0,0,0,0,0,0
Blodgett,OR,44.5969,-123.5211,67224,0,0,0,0,0,0,0,0,0,0
Horace,ND,46.7558,-96.9078,110968,0,0,0,0,0,0,0,0,0,0
Paoli,OK,34.8265,-97.2627,106723,0,0,0,0,0,0,0,0,0,0
Northville,MI,42.4355,-83.489,116981,0,0,0,0,0,0,0,0,0,0
Mountain Park,GA,33.8458,-84.1314,97505,0,0,0,0,0,0,0,0,0,0
Kwethluk,AK,60.7978,-161.4147,98535,0,0,0,0,0,0,0,0,0,0
Norfork,AR,36.2099,-92.2803,116680,0,0,0,0,0,0,0,0,0,0
Meyers,CA,38.8344,-120.0189,46765,0,0,0,0,0,0,0,0,0,0
West Liberty,OH,40.2569,-83.7584,76551,0,0,0,0,0,0,0,0,0,0
Fort Green,FL,27.6255,-81.9397,62900,0,0,0,0,0,0,0,0,0,0
Ringwood,IL,42.3973,-88.304,72399,0,0,0,0,0,0,0,0,0,0
Verdigris,OK,36.2536,-95.66,49111,0,0,0,0,0,0,0,0,0,0
Peñuelas,PR,18.0595,-66.7206,67200,0,0,0,0,0,0,0,0,0,0
Indian Harbour Beach,FL,28.1529,-80.5976,74700,0,0,0,0,0,0,0,0,0,0
Fort McKinley,OH,39.8027,-84.246,118648,0,0,0,0,0,0,0,0,0,0
Radnor,OH,40.3852,-83.1459,95130,0,0,0,0,0,0,0,0,0,0
Ambrose,GA,31.5945,-83.0137,42976,0,0,0,0,0,0,0,0,0,0
Palm Coast,FL,29.5389,-81.2457,91934,0,0,0,0,0,0,0,0,0,0
Westford,VT,44.6079,-73.0113,78779,0,0,0,0,0,0,0,0,0,0
Patriot,IN,38.8352,-84.8301,97079,0,0,0,0,0,0,0,0,0,0
Horton,KS,39.6635,-95.5326,118038,0,0,0,0,0,0,0,0,0,0
Larch Way,WA,47.8429,-122.2528,69059,0,0,0,0,0,0,0,0,0,0
Bishopville,MD,38.4413,-75.2092,86998,0,0,0,0,0,0,0,0,0,0
Fairfield,MT,47.6151,-111.9813,90553,0,0,0,0,0,0,0,0,0,0
Leipsic,OH,41.1096,-83.9674,73593,0,0,0,0,0,0,0,0,0,0
Dupont,OH,41.0547,-84.3011,70173,0,0,0,0,0,0,0,0,0,0
Painesville,OH,41.724,-81.2536,62168,0,0,0,0,0,0,0,0,0,0
Arden Hills,MN,45.0721,-93.167,90357,0,0,0,0,0,0,0,0,0,0
Natural Steps,AR,34.8668,-92.4881,114216,0,0,0,0,0,0,0,0,0,0
San Martin,CA,37.0829,-121.5963,88291,0,0,0,0,0,0,0,0,0,0
Bloomington,NE,40.0938,-99.0384,108907,0,0,0,0,0,0,0,0,0,0
Kanawha,IA,42.9342,-93.7932,102278,0,0,0,0,0,0,0,0,0,0
Newkirk,OK,36.8817,-97.0553,102821,0,0,0,0,0,0,0,0,0,0
Georgetown,OH,38.8684,-83.8992,79385,0,0,0,0,0,0,0,0,0,0
Butterfield,MO,36.7468,-93.9043,99469,0,0,0,0,0,0,0,0,0,0
Lockett,TX,34.0826,-99.3738,64833,0,0,0,0,0,0,0,0,0,0
Pimlico,SC,33.0989,-79.9606,87653,0,0,0,0,0,0,0,0,0,0
Stilesville,IN,39.6372,-86.6343,54481,0,0,0,0,0,0,0,0,0,0
Port Washington North,NY,40.8434,-73.7014,40909,0,0,0,0,0,0,0,0,0,0
Great Cacapon,WV,39.6144,-78.2857,119345,0,0,0,0,0,0,0,0,0,0
Palisade,NE,40.3483,-101.1075,76108,0,0,0,0,0,0,0,0,0,0
Kamaili,HI,19.4391,-154.9189,61845,0,0,0,0,0,0,0,0,0,0
Cloudcroft,NM,32.9532,-105.7326,95597,0,0,0,0,0,0,0,0,0,0
Wadena,MN,46.445,-95.1285,96022,0,0,0,0,0,0,0,0,0,0
Mount Hope,WV,37.8976,-81.1737,92748,0,0,0,0,0,0,0,0,0,0
Dodge Center,MN,44.0284,-92.8518,71285,0,0,0,0,0,0,0,0,0,0
Melbourne Beach,FL,28.0668,-80.561,108187,0,0,0,0,0,0,0,0,0,0
Southside,AL,33.9007,-86.0238,59173,0,0,0,0,0,0,0,0,0,0
Highland City,FL,27.9633,-81.8781,73487,0,0,0,0,0,0,0,0,0,0
Los Minerales,TX,27.6555,-99.6179,87501,0,0,0,0,0,0,0,0,0,0
Paw Paw,MI,42.2148,-85.8919,91720,0,0,0,0,0,0,0,0,0,0
Benton,AL,32.3078,-86.818,55718,0,0,0,0,0,0,0,0,0,0
Sankertown,PA,40.4714,-78.5919,76681,0,0,0,0,0,0,0,0,0,0
Soap Lake,WA,47.3914,-119.4893,43333,0,0,0,0,0,0,0,0,0,0
Beaverdale,IA,40.8539,-91.2072,103594,0,0,0,0,0,0,0,0,0,0
Elizabeth,IN,38.1241,-85.9737,93720,0,0,0,0,0,0,0,0,0,0
Cove City,NC,35.189,-77.3206,117081,0,0,0,0,0,0,0,0,0,0
New Harmony,IN,38.1289,-87.9304,67260,0,0,0,0,0,0,0,0,0,0
Woonsocket,SD,44.0541,-98.2724,61470,0,0,0,0,0,0,0,0,0,0
Groom,TX,35.205,-101.1071,105167,0,0,0,0,0,0,0,0,0,0
Cape May,NJ,38.9409,-74.9042,76331,0,0,0,0,0,0,0,0,0,0
Lowry Crossing,TX,33.1711,-96.5443,68525,0,0,0,0,0,0,0,0,0,0
Rifle,CO,39.5362,-107.7729,94316,0,0,0,0,0,0,0,0,0,0
Rawls Springs,MS,31.3797,-89.3878,77305,0,0,0,0,0,0,0,0,0,0
Chilchinbito,AZ,36.5027,-110.0512,43436,0,0,0,0,0,0,0,0,0,0
Holstein,NE,40.4652,-98.651,99919,0,0,0,0,0,0,0,0,0,0
Cowgill,MO,39.5605,-93.9257,55438,0,0,0,0,0,0,0,0,0,0
Marlboro Village,MD,38.8307,-76.7699,95863,0,0,0,0,0,0,0,0,0,0
Kachemak,AK,59.6745,-151.4363,114861,0,0,0,0,0,0,0,0,0,0
Pablo Pena,TX,26.3037,-98.6405,98867,0,0,0,0,0,0,0,0,0,0
Shrewsbury,MO,38.5866,-90.3282,46221,0,0,0,0,0,0,0,0,0,0
London,CA,36.4805,-119.445,74866,0,0,0,0,0,0,0,0,0,0
Revloc,PA,40.4914,-78.7637,47404,0,0,0,0,0,0,0,0,0,0
Oakvale,WV,37.3323,-80.9704,91169,0,0,0,0,0,0,0,0,0,0
Orr,MN,48.0594,-92.8249,104746,0,0,0,0,0,0,0,0,0,0
Caldwell,AR,35.0788,-90.8135,52054,0,0,0,0,0,0,0,0,0,0
Playa Fortuna,PR,18.3759,-65.746,107136,0,0,0,0,0,0,0,0,0,0
Marshfield,MO,37.3424,-92.9107,80469,0,0,0,0,0,0,0,0,0,0
Ironville,KY,38.4562,-82.6978,97251,0,0,0,0,0,0,0,0,0,0
Hockingport,OH,39.1908,-81.7494,103818,0,0,0,0,0,0,0,0,0,0
Carlin,NV,40.719,-116.1081,113150,0,0,0,0,0,0,0,0,0,0
Menominee,IL,42.4747,-90.5429,84088,0,0,0,0,0,0,0,0,0,0
Au Gres,MI,44.0432,-83.6934,68155,0,0,0,0,0,0,0,0,0,0
Oaklyn,NJ,39.9023,-75.0813,52537,0,0,0,0,0,0,0,0,0,0
Union Mill,VA,38.7978,-77.3815,114094,0,0,0,0,0,0,0,0,0,0
Rogers,TX,30.93,-97.229,47425,0,0,0,0,0,0,0,0,0,0
Mequon,WI,43.2352,-87.9839,71348,0,0,0,0,0,0,0,0,0,0
Evergreen,AL,31.4342,-86.9723,96866,0,0,0,0,0,0,0,0,0,0
Franklin Park,PA,40.5903,-80.0999,59086,0,0,0,0,0,0,0,0,0,0
Plainview,IA,41.6672,-90.7801,55140,0,0,0,0,0,0,0,0,0,0
Adena,OH,40.2166,-80.8762,92105,0,0,0,0,0,0,0,0,0,0
Schroon Lake,NY,43.8345,-73.7647,43476,0,0,0,0,0,0,0,0,0,0
Eagleton Village,TN,35.7882,-83.9363,86041,0,0,0,0,0,0,0,0,0,0
Longmont,CO,40.1686,-105.1005,57955,0,0,0,0,0,0,0,0,0,0
Central Islip,NY,40.7836,-73.1945,98053,0,0,0,0,0,0,0,0,0,0
Portlandville,NY,42.5294,-74.9674,98301,0,0,0,0,0,0,0,0,0,0
Chatsworth,IL,40.7293,-88.2974,71174,0,0,0,0,0,0,0,0,0,0
Mooresville,IN,39.6022,-86.3681,92656,0,0,0,0,0,0,0,0,0,0
Rockmart,GA,34.0103,-85.044,55032,0,0,0,0,0,0,0,0,0,0
Farmington,MS,34.9224,-88.4432,85320,0,0,0,0,0,0,0,0,0,0
Mosquito Lake,AK,59.4708,-136.1452,86618,0,0,0,0,0,0,0,0,0,0
North Beach Haven,NJ,39.6008,-74.2123,43823,0,0,0,0,0,0,0,0,0,0
Morris Plains,NJ,40.8356,-74.4786,93634,0,0,0,0,0,0,0,0,0,0
Salome,AZ,33.7778,-113.606,67299,0,0,0,0,0,0,0,0,0,0
Victor,ID,43.6014,-111.1108,101824,0,0,0,0,0,0,0,0,0,0
Bay Center,WA,46.6213,-123.9533,55611,0,0,0,0,0,0,0,0,0,0
Gilmer,TX,32.7318,-94.9461,69661,0,0,0,0,0,0,0,0,0,0
Hanover,PA,39.8118,-76.9836,88454,0,0,0,0,0,0,0,0,0,0
Leon Valley,TX,29.4954,-98.6143,82712,0,0,0,0,0,0,0,0,0,0
Millville,MN,44.2448,-92.2958,103571,0,0,0,0,0,0,0,0,0,0
Celestine,IN,38.3848,-86.7792,78588,0,0,0,0,0,0,0,0,0,0
Ripon,CA,37.7417,-121.131,84900,0,0,0,0,0,0,0,0,0,0
Starbuck,MN,45.6116,-95.5322,53421,0,0,0,0,0,0,0,0,0,0
Arabi,GA,31.8282,-83.7302,76079,0,0,0,0,0,0,0,0,0,0
Tanquecitos South Acres II,TX,27.487,-99.3882,56834,0,0,0,0,0,0,0,0,0,0
Lake View,TX,29.459,-100.9532,44509,0,0,0,0,0,0,0,0,0,0
Weston,OH,41.3464,-83.7948,57600,0,0,0,0,0,0,0,0,0,0
Summit,NJ,40.7154,-74.3647,113822,0,0,0,0,0,0,0,0,0,0
Tyaskin,MD,38.3196,-75.8729,104147,0,0,0,0,0,0,0,0,0,0
Yadkin College,NC,35.8766,-80.3791,43423,0,0,0,0,0,0,0,0,0,0
Lennox,CA,33.938,-118.3586,116971,0,0,0,0,0,0,0,0,0,0
Kidron,OH,40.744,-81.7467,116970,0,0,0,0,0,0,0,0,0,0
Morton,MN,44.5534,-94.985,92971,0,0,0,0,0,0,0,0,0,0
Countryside,IL,41.7741,-87.8752,60008,0,0,0,0,0,0,0,0,0,0
Melmore,OH,41.0262,-83.105,51215,0,0,0,0,0,0,0,0,0,0
Medina,TX,26.9289,-99.2614,43782,0,0,0,0,0,0,0,0,0,0
Buffalo,SD,45.5863,-103.5434,114165,0,0,0,0,0,0,0,0,0,0
Hitchcock,OK,35.9676,-98.3497,60688,0,0,0,0,0,0,0,0,0,0
Sappington,MO,38.526,-90.373,54308,0,0,0,0,0,0,0,0,0,0
Sunday Lake,WA,48.2265,-122.2537,99886,0,0,0,0,0,0,0,0,0,0
Plover,IA,42.8766,-94.6223,66173,0,0,0,0,0,0,0,0,0,0
Leola,PA,40.0915,-76.1891,81938,0,0,0,0,0,0,0,0,0,0
Thornton,IL,41.5711,-87.6187,71746,0,0,0,0,0,0,0,0,0,0
Canton,KS,38.3857,-97.4303,93952,0,0,0,0,0,0,0,0,0,0
Dovray,MN,44.0545,-95.5477,60420,0,0,0,0,0,0,0,0,0,0
Butler,MO,38.2598,-94.3394,86015,0,0,0,0,0,0,0,0,0,0
Tioga,ND,48.3947,-102.9431,49821,0,0,0,0,0,0,0,0,0,0
Delanson,NY,42.7474,-74.1841,72544,0,0,0,0,0,0,0,0,0,0
Grantsburg,IN,38.2881,-86.4694,106681,0,0,0,0,0,0,0,0,0,0
Dennard,AR,35.7491,-92.5388,64325,0,0,0,0,0,0,0,0,0,0
Burton,NE,42.9119,-99.5918,50321,0,0,0,0,0,0,0,0,0,0
Groveville,NJ,40.1679,-74.6523,102008,0,0,0,0,0,0,0,0,0,0
La Selva Beach,CA,36.9275,-121.8444,51322,0,0,0,0,0,0,0,0,0,0
Langley,WA,48.0337,-122.4084,109535,0,0,0,0,0,0,0,0,0,0
Graeagle,CA,39.7572,-120.6486,56285,0,0,0,0,0,0,0,0,0,0
Menan,ID,43.7218,-111.9925,112265,0,0,0,0,0,0,0,0,0,0
Bivins,TX,33.0174,-94.193,82417,0,0,0,0,0,0,0,0,0,0
Gananda,NY,43.1274,-77.3361,40066,0,0,0,0,0,0,0,0,0,0
Polonia,WI,44.5756,-89.4118,66691,0,0,0,0,0,0,0,0,0,0
Towanda,IL,40.5633,-88.9011,45274,0,0,0,0,0,0,0,0,0,0
West Jefferson,NC,36.3938,-81.4898,114155,0,0,0,0,0,0,0,0,0,0
Staunton,IL,39.0116,-89.791,55605,0,0,0,0,0,0,0,0,0,0
